provnum	stabbrev	deaths_per_bed	nh_covid_deaths	bedcert	tract_density	tract_housing_density	tract_pt_share_u50k	tract_pt_share	tract_pt_share_hc	tract_pov_share	tract_med_income	tract_white_share	tract_black_share	tract_white_nh_share	tract_share_frontline	tract_data	tract_share_nonwhite	tract_pred_nh_pt_share
"555292"	"CA"	0	0	44	5538.103	2.883673	.0671284	.0926936	.1099894	.1082471	42113.77	.5746311	.0906711	.4499136	.2717355	1	.4253689	.0411746
"055049"	"CA"	0	0	51	6815.36	2.976951	.0615259	.0789022	.1084776	.1428248	35638.93	.5462039	.1061752	.3883736	.2933399	1	.4537961	.0262955
"555710"	"CA"	0	0	120	6265.246	2.913714	.0713127	.0884704	.1107849	.1381497	41023.8	.5451752	.0855291	.4183486	.2679585	1	.4548248	.0575766
"055677"	"CA"	0	0	49	6178.527	3.13428	.0762854	.0728389	.1464008	.2034366	30564.52	.462418	.1632595	.3101432	.3053448	1	.5375819	.0490471
"056359"	"CA"	0	0	108	8044.26	3.003483	.0874558	.1100343	.1442659	.1516062	35089.89	.4440863	.1361668	.2555115	.2967962	1	.5559137	.0428074
"055775"	"CA"	11.70213	5.5	47	7414.622	2.764704	.0918478	.1347122	.0952637	.0914053	52576.8	.585686	.0632923	.4876745	.2321286	1	.414314	.0976549
"056457"	"CA"	0	0	60	6646.881	2.999485	.083151	.1093701	.1274727	.111886	38284.58	.4638999	.1250116	.3032571	.2820848	1	.5361001	.0464678
"555364"	"CA"	0	0	45														
"056381"	"CA"	0	0	99	5035.004	3.092249	.0452895	.0528286	.1742713	.2019876	32549.49	.5506054	.1281191	.3973267	.3127657	1	.4493946	.0127413
"056476"	"CA"	0	0	113	6836.268	2.99124	.080231	.1005379	.1077972	.1218135	39147.55	.5175466	.0926426	.3852372	.2691467	1	.4824534	.0627109
"555376"	"CA"	0	0	54	5322.648	2.856498	.0552825	.0835176	.0820951	.0807284	51823.34	.6235535	.0492786	.5178191	.2407656	1	.3764465	.0535919
"056021"	"CA"	0	0	99	5793.889	3.219147	.0649274	.0750443	.1278176	.1515403	38156.39	.5238023	.1145584	.373907	.2920803	1	.4761977	.044708
"555446"	"CA"	3.548387	5.5	155	6613.44	2.887264	.0721704	.095248	.1000588	.1233937	42611.96	.5642339	.0838515	.4395621	.2590668	1	.4357661	.0610494
"056389"	"CA"	0	0	202	9844.514	3.049015	.10236	.1159284	.1399568	.1724807	33760.35	.4474112	.1267083	.2583953	.2965206	1	.5525888	.0539021
"555421"	"CA"	0	0	120	5349.652	2.93463	.0695679	.0969555	.1038343	.1112483	41498.75	.5878032	.0838541	.4613908	.2669836	1	.4121968	.0474218
"056296"	"CA"	0	0	99	1234.422	2.492703	.0019935	.0095317	.1559018	.3186251	22362.29	.7661306	.0266757	.6476762	.2509121	1	.2338694	0
"555698"	"CA"	0	0	48	1864.48	2.608471	.0233182	.0202762	.0749115	.1141741	31420.25	.8553516	.012245	.7176652	.2359234	1	.1446484	.0435436
"055497"	"CA"	0	0	99	1823.255	2.664436	.0152448	.0169081	.085703	.1152711	34904.44	.8446637	.0182114	.7421951	.2626691	1	.1553363	.0317845
"555180"	"CA"	0	0	68	1995.249	2.66487	.0218642	.0229206	.0801143	.1287585	34763.99	.8431479	.0169872	.7382368	.2627331	1	.1568521	.0417885
"056243"	"CA"	0	0	99	1788.41	2.655641	.0162266	.0174662	.0869597	.1374203	33381.21	.8402806	.0205201	.7344051	.2644085	1	.1597194	.03004
"05A021"	"CA"	0	0	59														
"05A130"	"CA"	0	0	46														
"555892"	"CA"	0	0	34	3945.878	3.37908	.0048955	.0051301	.0905954	.2722753	27056.02	.7045422	.0236128	.2402832	.2779858	1	.2954578	.004713
"055454"	"CA"	0	0	49	3317.853	3.415689	.0117888	.0095128	.0879314	.3375442	24281.39	.6904191	.0353599	.2226888	.2847902	1	.3095809	.0185542
"055573"	"CA"	0	0	86	2968.086	3.340135	.0108273	.0084377	.0884672	.3136628	25565.27	.7573956	.0125477	.3058358	.2795845	1	.2426044	.0125313
"055996"	"CA"	0	0	121	4801.397	3.114516	.0131537	.0119513	.0850185	.2827956	28764.24	.6540373	.0499293	.3512596	.2901426	1	.3459627	.0204487
"055799"	"CA"	0	0	56	2937.564	3.393493	.0194352	.0134606	.0818454	.3116228	24579.77	.7486956	.0170058	.2778483	.2692389	1	.2513044	.00186
"056325"	"CA"	0	0	232	4408.556	3.117454	.0130483	.0110789	.0900048	.2377781	31722.88	.6544893	.046907	.3789312	.2791474	1	.3455107	.0184391
"05A183"	"CA"	0	0	49														
"555900"	"CA"	0	0	120														
"555866"	"CA"	0	0	99	5502.296	3.427991	.0225253	.01843	.091678	.3620647	23346.58	.5576968	.0590368	.2166039	.2975841	1	.4423032	.0554086
"055626"	"CA"	0	0	155	5117.042	3.146622	.0207082	.0183773	.0931932	.3013581	26956	.6370726	.0544062	.3145404	.2829639	1	.3629274	.0305328
"055204"	"CA"	0	0	104	5305.081	3.196769	.019974	.0184663	.0942819	.3302451	26660.37	.6116912	.0574375	.3117918	.2960861	1	.3883088	.0371102
"055423"	"CA"	0	0	59	3261.644	3.384048	.0104186	.0109578	.0765138	.261607	27962.42	.6425612	.0465612	.2851664	.2862186	1	.3574388	.0155147
"055846"	"CA"	0	0	79	5511.17	3.096206	.0210385	.0200222	.0954738	.286534	28581.98	.6380852	.0566762	.3518169	.2843139	1	.3619148	.0288764
"555352"	"CA"	0	0	99	5177.006	3.265039	.013132	.0121516	.100158	.3003781	26738.56	.6046518	.0543304	.2943976	.297002	1	.3953482	.0274269
"055199"	"CA"	0	0	180	5158.211	3.153155	.0149841	.0143085	.0932281	.2713006	29252.96	.6515106	.0512778	.3549839	.2797929	1	.3484894	.0189537
"055258"	"CA"	0	0	106	5333.11	3.131806	.0184369	.0162881	.0795441	.3332304	26401.28	.6225361	.0648105	.3026784	.293252	1	.3774639	.0285764
"056207"	"CA"	0	0	180	4954.26	3.395596	.0155751	.0133815	.0886556	.3153231	25777.15	.5827654	.0530941	.2696841	.297724	1	.4172346	.037108
"056281"	"CA"	0	0	59	4335.618	3.342147	.0160171	.0139839	.0894876	.2873715	26098.09	.6214687	.0523182	.2932397	.3016086	1	.3785313	.0163051
"555513"	"CA"	0	0	120	2860.459	3.473826	.0220596	.0133128	.0827945	.3072521	23104.88	.7465987	.0181013	.2350237	.2817378	1	.2534013	.0093375
"555179"	"CA"	0	0	99	4675.387	3.09587	.0153592	.0136936	.0909363	.2617703	30041.21	.6562854	.0491858	.3616172	.2757413	1	.3437146	.0173125
"056266"	"CA"	0	0	65	5583.561	3.252662	.0241665	.0210046	.1007457	.2918552	27746.48	.6178499	.0573597	.2921264	.2927135	1	.3821501	.0360882
"055658"	"CA"	0	0	50	4858.3	3.262411	.0228972	.0180463	.0806752	.2910161	26273.66	.6145869	.0578101	.3008327	.2979674	1	.3854131	.0493038
"055955"	"CA"	0	0	120	4646.912	3.35294	.0201939	.017419	.0889348	.3469363	24233.63	.6038226	.046862	.2522716	.2960953	1	.3961774	.0447012
"056100"	"CA"	0	0	99	3800.664	3.305485	.0143249	.0130906	.0934778	.2937446	27206.99	.6694933	.0348338	.2765955	.2836296	1	.3305067	.0191268
"555426"	"CA"	0	0	80	5389.858	3.228876	.0318946	.0274786	.0908703	.3402135	26347.47	.6063632	.0713272	.2749994	.2851975	1	.3936368	.0453461
"056225"	"CA"	0	0	99	5725.972	3.304808	.0219052	.0188218	.0982531	.3580069	25153.05	.5876959	.0651311	.2622044	.2942077	1	.4123041	.0437135
"056338"	"CA"	0	0	57	4603.69	3.136181	.0146052	.0120109	.0848488	.2756305	29319.24	.6540959	.0497351	.3452449	.277683	1	.3459041	.0195856
"056279"	"CA"	9.322034	5.5	59	3579.885	3.459082	.0200453	.012253	.0732898	.3442866	21528.44	.7287773	.0206087	.2214885	.2750343	1	.2712227	.0101479
"555652"	"CA"	0	0	159	4826.778	3.113496	.0121076	.0103036	.0938178	.2649698	31152.62	.6470127	.0509783	.3680964	.2834412	1	.3529873	.0152281
